Index,Tag,Atag,Btag,pIC50_coded,Smiles
1,A01B01,A01,B01,6.5,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccccc3
2,A01B02,A01,B02,6.8,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccc(Br)cc3
3,A01B03,A01,B03,-1,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc(c3)N(=O)=O
4,A01B04,A01,B04,7.1,Cc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O
5,A01B05,A01,B05,5.1,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc4c5ccccc5oc34
6,A01B06,A01,B06,5.4,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc4Sc5ccccc5Sc34
7,A01B07,A01,B07,7.6,CSc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O
8,A01B08,A01,B08,5,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc(c3)C(F)(F)F
9,A01B09,A01,B09,4.1,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccccc3N(=O)=O
10,A01B10,A01,B10,5.6,Cc1ccc(cc1N(=O)=O)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O
11,A01B11,A01,B11,6.4,CC(=O)Nc1cccc(c1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O
12,A01B12,A01,B12,6,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc(F)c3
13,A01B13,A01,B13,0,COc1ccccc1c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O
14,A01B14,A01,B14,4.6,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccccc3Cl
15,A01B15,A01,B15,5.7,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccccc3F
16,A01B16,A01,B16,3.8,CCOc1ccccc1c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O
17,A01B17,A01,B17,6.4,OCc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O
18,A01B18,A01,B18,7.6,CCCc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O
19,A01B19,A01,B19,7.5,CCc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O
20,A01B20,A01,B20,7,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccc(OCc4ccccc4)c(F)c3
21,A01B21,A01,B21,5.7,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccccc3Oc4ccccc4
22,A01B22,A01,B22,4.8,Cc1cccc(C)c1c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O
23,A01B23,A01,B23,6.1,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccc4OCOc4c3
24,A01B24,A01,B24,5.2,COc1ccc(c(OC)c1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O
25,A01B25,A01,B25,7.4,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccc(OC(F)(F)F)cc3
26,A01B26,A01,B26,-3,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3c(F)c(F)c(F)c(F)c3F
27,A01B27,A01,B27,7,CC(=O)c1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O
28,A01B28,A01,B28,4.8,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc(Cl)c3Cl
29,A01B29,A01,B29,4.2,OC(=O)/C=C/c1cccc(c1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O
30,A01B30,A01,B30,7.3,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccc(/C=C/N(=O)=O)cc3
31,A01B31,A01,B31,5.3,COc1c(C)cc(cc1C)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O
32,A01B32,A01,B32,0,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc4cccnc34
33,A01B33,A01,B33,-1,OCc1cccc(c1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O
34,A01B34,A01,B34,4.4,COc1ccc(cc1c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O)C(C)C
35,A01B35,A01,B35,5.2,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc4c5ccccc5sc34
36,A01B36,A01,B36,-3,COc1ccc(c(OC)c1OC)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O
37,A01B37,A01,B37,4,COc1ccc(Cl)cc1c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O
38,A01B38,A01,B38,4.9,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc(C#N)c3
39,A01B39,A01,B39,0,CC(=O)c1ccccc1c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O
40,A01B40,A01,B40,-3,NCc1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O
41,A01B41,A01,B41,6.4,COC(=O)c1ccc(cc1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O
42,A01B42,A01,B42,4.9,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cccc(OCc4ccccc4)c3
43,A01B43,A01,B43,5.9,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3cc(F)c(F)c(F)c3
44,A01B44,A01,B44,4.9,Cc1cc(F)ccc1c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O
45,A01B45,A01,B45,-3,OC(=O)[C@H](Cc1ccc(O)cc1)NS(=O)(=O)c2ccc(cc2)c3ccc(F)c(C=O)c3
46,A01B46,A01,B46,4.2,COc1cccc(c1F)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O
47,A01B47,A01,B47,5.4,CCOC(=O)c1cccc(c1)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O
48,A01B48,A01,B48,6.7,Cc1ccc(cc1F)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O
49,A01B49,A01,B49,-1,COc1c(F)cc(F)cc1c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O
50,A01B50,A01,B50,-3,Cc1ccc(F)c(c1Cl)c2ccc(cc2)S(=O)(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O
51,A02B01,A02,B01,5.4,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccccc2)C(=O)O
52,A02B02,A02,B02,-3,CSC[C@H](NS(=O)(=O)c1ccc(cc1)c2ccc(Br)cc2)C(=O)O
